Data_Type,dt_time,Location,Business Unit,Interval_Hrs,Call_Volume,AHT_Secs,ASA_Secs,ASA_Target_Secs,Actual_SL,Service Level Target,Shrinkage,Occupancy_Target,Positions_No_Shrinkage,Positions_With_Shrinkage,service_level,occupancy,waiting_probability,Labor Hours Needed - Post Shrinkage Occ
Historical,2025-01-02 07:00:00,TOTAL,Answerlink,1.0,4,880.0,0.0,30.0,,0.8,0.21,0.85,3,4,0.92,0.33,0.09,4.0
Historical,2025-01-02 08:00:00,TOTAL,Answerlink,1.0,32,549.22,0.0,30.0,,0.8,0.21,0.85,8,11,0.87,0.61,0.15,11.0
Historical,2025-01-02 09:00:00,TOTAL,Answerlink,1.0,61,556.82,0.0,30.0,,0.8,0.21,0.85,13,17,0.83,0.73,0.21,17.0
Historical,2025-01-02 10:00:00,TOTAL,Answerlink,1.0,76,554.21,0.0,30.0,,0.8,0.21,0.85,16,21,0.86,0.73,0.17,21.0
Historical,2025-01-02 11:00:00,TOTAL,Answerlink,1.0,44,693.75,0.0,30.0,,0.8,0.21,0.85,12,16,0.83,0.71,0.19,16.0
Historical,2025-01-02 12:00:00,TOTAL,Answerlink,1.0,51,746.09,0.0,30.0,,0.8,0.21,0.85,15,19,0.88,0.7,0.15,19.0
Historical,2025-01-02 13:00:00,TOTAL,Answerlink,1.0,47,705.88,0.0,30.0,,0.8,0.21,0.85,13,17,0.85,0.71,0.18,17.0
Historical,2025-01-02 14:00:00,TOTAL,Answerlink,1.0,47,688.59,0.0,30.0,,0.8,0.21,0.85,13,17,0.87,0.69,0.16,17.0
Historical,2025-01-02 15:00:00,TOTAL,Answerlink,1.0,44,664.13,0.0,30.0,,0.8,0.21,0.85,12,16,0.87,0.68,0.15,16.0
Historical,2025-01-02 16:00:00,TOTAL,Answerlink,1.0,19,925.48,0.0,30.0,,0.8,0.21,0.85,8,11,0.86,0.61,0.15,11.0
Historical,2025-01-02 17:00:00,TOTAL,Answerlink,1.0,8,859.0,0.0,30.0,,0.8,0.21,0.85,4,6,0.86,0.48,0.15,6.0
Historical,2025-01-02 18:00:00,TOTAL,Answerlink,1.0,9,457.5,0.0,30.0,,0.8,0.21,0.85,3,4,0.89,0.38,0.13,4.0
Historical,2025-01-02 19:00:00,TOTAL,Answerlink,1.0,1,542.0,0.0,30.0,,0.8,0.21,0.85,1,2,0.86,0.15,0.15,2.0
Historical,2025-01-02 20:00:00,TOTAL,Answerlink,1.0,1,866.0,0.0,30.0,,0.8,0.21,0.85,2,3,0.98,0.12,0.03,3.0
Historical,2025-01-02 21:00:00,TOTAL,Answerlink,1.0,0,,0.0,30.0,,0.8,0.21,0.85,1,1,1.0,0.0,0.0,1.0
Historical,2025-01-02 22:00:00,TOTAL,Answerlink,1.0,1,0.0,0.0,30.0,,0.8,0.21,0.85,1,1,1.0,0.0,0.0,1.0
Historical,2025-01-02 23:00:00,TOTAL,Answerlink,1.0,0,,0.0,30.0,,0.8,0.21,0.85,1,1,1.0,0.0,0.0,1.0
Historical,2025-01-03 07:00:00,TOTAL,Answerlink,1.0,9,419.54,0.0,30.0,,0.8,0.21,0.85,3,4,0.91,0.35,0.1,4.0
Historical,2025-01-03 08:00:00,TOTAL,Answerlink,1.0,29,688.72,0.0,30.0,,0.8,0.21,0.85,9,12,0.88,0.62,0.14,12.0
Historical,2025-01-03 09:00:00,TOTAL,Answerlink,1.0,39,695.67,0.0,30.0,,0.8,0.21,0.85,11,14,0.84,0.69,0.18,14.0
Historical,2025-01-03 10:00:00,TOTAL,Answerlink,1.0,51,583.52,0.0,30.0,,0.8,0.21,0.85,12,16,0.86,0.69,0.17,16.0
Historical,2025-01-03 11:00:00,TOTAL,Answerlink,1.0,45,521.19,0.0,30.0,,0.8,0.21,0.85,10,13,0.87,0.65,0.16,13.0
Historical,2025-01-03 12:00:00,TOTAL,Answerlink,1.0,44,684.58,0.0,30.0,,0.8,0.21,0.85,12,16,0.85,0.7,0.18,16.0
Historical,2025-01-03 13:00:00,TOTAL,Answerlink,1.0,40,651.4,0.0,30.0,,0.8,0.21,0.85,11,14,0.88,0.66,0.15,14.0
Historical,2025-01-03 14:00:00,TOTAL,Answerlink,1.0,45,613.82,0.0,30.0,,0.8,0.21,0.85,11,14,0.83,0.7,0.2,14.0
Historical,2025-01-03 15:00:00,TOTAL,Answerlink,1.0,41,706.02,0.0,30.0,,0.8,0.21,0.85,12,16,0.88,0.67,0.14,16.0
Historical,2025-01-03 16:00:00,TOTAL,Answerlink,1.0,24,645.78,0.0,30.0,,0.8,0.21,0.85,7,9,0.84,0.62,0.18,9.0
Historical,2025-01-03 17:00:00,TOTAL,Answerlink,1.0,3,1243.67,0.0,30.0,,0.8,0.21,0.85,3,4,0.91,0.35,0.1,4.0
Historical,2025-01-03 18:00:00,TOTAL,Answerlink,1.0,0,,0.0,30.0,,0.8,0.21,0.85,1,1,1.0,0.0,0.0,1.0
Historical,2025-01-03 19:00:00,TOTAL,Answerlink,1.0,1,510.0,0.0,30.0,,0.8,0.21,0.85,1,2,0.87,0.14,0.14,2.0
Historical,2025-01-03 20:00:00,TOTAL,Answerlink,1.0,1,354.0,0.0,30.0,,0.8,0.21,0.85,1,2,0.91,0.1,0.1,2.0
Historical,2025-01-03 21:00:00,TOTAL,Answerlink,1.0,1,503.0,0.0,30.0,,0.8,0.21,0.85,1,2,0.87,0.14,0.14,2.0
Historical,2025-01-03 22:00:00,TOTAL,Answerlink,1.0,0,,0.0,30.0,,0.8,0.21,0.85,1,1,1.0,0.0,0.0,1.0
Historical,2025-01-03 23:00:00,TOTAL,Answerlink,1.0,0,,0.0,30.0,,0.8,0.21,0.85,1,1,1.0,0.0,0.0,1.0
Historical,2025-01-04 07:00:00,TOTAL,Answerlink,1.0,2,0.0,0.0,30.0,,0.8,0.21,0.85,1,1,1.0,0.0,0.0,1.0
Historical,2025-01-04 08:00:00,TOTAL,Answerlink,1.0,12,326.5,0.0,30.0,,0.8,0.21,0.85,3,4,0.91,0.36,0.11,4.0
Historical,2025-01-04 09:00:00,TOTAL,Answerlink,1.0,16,555.94,0.0,30.0,,0.8,0.21,0.85,5,7,0.89,0.49,0.13,7.0
Historical,2025-01-04 10:00:00,TOTAL,Answerlink,1.0,12,448.69,0.0,30.0,,0.8,0.21,0.85,4,6,0.94,0.37,0.07,6.0
Historical,2025-01-04 11:00:00,TOTAL,Answerlink,1.0,15,452.62,0.0,30.0,,0.8,0.21,0.85,4,6,0.87,0.47,0.15,6.0
Historical,2025-01-04 12:00:00,TOTAL,Answerlink,1.0,11,571.5,0.0,30.0,,0.8,0.21,0.85,4,6,0.9,0.44,0.12,6.0
Historical,2025-01-04 13:00:00,TOTAL,Answerlink,1.0,8,459.62,0.0,30.0,,0.8,0.21,0.85,3,4,0.92,0.34,0.1,4.0
Historical,2025-01-04 14:00:00,TOTAL,Answerlink,1.0,3,385.89,0.0,30.0,,0.8,0.21,0.85,2,3,0.96,0.16,0.04,3.0
Historical,2025-01-04 15:00:00,TOTAL,Answerlink,1.0,2,438.5,0.0,30.0,,0.8,0.21,0.85,2,3,0.98,0.12,0.03,3.0
Historical,2025-01-04 16:00:00,TOTAL,Answerlink,1.0,1,1807.0,0.0,30.0,,0.8,0.21,0.85,2,3,0.9,0.25,0.1,3.0
Historical,2025-01-04 17:00:00,TOTAL,Answerlink,1.0,1,315.0,0.0,30.0,,0.8,0.21,0.85,1,2,0.92,0.09,0.09,2.0
Historical,2025-01-04 18:00:00,TOTAL,Answerlink,1.0,2,645.0,0.0,30.0,,0.8,0.21,0.85,2,3,0.95,0.18,0.05,3.0
Historical,2025-01-04 19:00:00,TOTAL,Answerlink,1.0,1,1127.5,0.0,30.0,,0.8,0.21,0.85,2,3,0.96,0.16,0.04,3.0
Historical,2025-01-04 20:00:00,TOTAL,Answerlink,1.0,0,,0.0,30.0,,0.8,0.21,0.85,1,1,1.0,0.0,0.0,1.0
Historical,2025-01-04 21:00:00,TOTAL,Answerlink,1.0,0,,0.0,30.0,,0.8,0.21,0.85,1,1,1.0,0.0,0.0,1.0
Historical,2025-01-05 07:00:00,TOTAL,Answerlink,1.0,2,396.5,0.0,30.0,,0.8,0.21,0.85,2,3,0.98,0.11,0.02,3.0
Historical,2025-01-05 08:00:00,TOTAL,Answerlink,1.0,3,329.0,0.0,30.0,,0.8,0.21,0.85,2,3,0.97,0.14,0.03,3.0
Historical,2025-01-05 09:00:00,TOTAL,Answerlink,1.0,7,717.83,0.0,30.0,,0.8,0.21,0.85,3,4,0.81,0.47,0.2,4.0
Historical,2025-01-05 10:00:00,TOTAL,Answerlink,1.0,7,356.0,0.0,30.0,,0.8,0.21,0.85,2,3,0.84,0.35,0.18,3.0
Historical,2025-01-05 11:00:00,TOTAL,Answerlink,1.0,8,759.25,0.0,30.0,,0.8,0.21,0.85,4,6,0.9,0.42,0.11,6.0
Historical,2025-01-05 12:00:00,TOTAL,Answerlink,1.0,13,509.08,0.0,30.0,,0.8,0.21,0.85,4,6,0.88,0.46,0.14,6.0
Historical,2025-01-05 13:00:00,TOTAL,Answerlink,1.0,8,816.0,0.0,30.0,,0.8,0.21,0.85,4,6,0.88,0.45,0.13,6.0
Historical,2025-01-05 14:00:00,TOTAL,Answerlink,1.0,4,1222.08,0.0,30.0,,0.8,0.21,0.85,3,4,0.82,0.45,0.19,4.0
Historical,2025-01-05 15:00:00,TOTAL,Answerlink,1.0,2,124.0,0.0,30.0,,0.8,0.21,0.85,1,2,0.95,0.07,0.07,2.0
Historical,2025-01-05 16:00:00,TOTAL,Answerlink,1.0,0,,0.0,30.0,,0.8,0.21,0.85,1,1,1.0,0.0,0.0,1.0
Historical,2025-01-05 17:00:00,TOTAL,Answerlink,1.0,0,,0.0,30.0,,0.8,0.21,0.85,1,1,1.0,0.0,0.0,1.0
Historical,2025-01-05 18:00:00,TOTAL,Answerlink,1.0,2,398.0,0.0,30.0,,0.8,0.21,0.85,2,3,0.98,0.11,0.02,3.0
Historical,2025-01-05 19:00:00,TOTAL,Answerlink,1.0,1,570.5,0.0,30.0,,0.8,0.21,0.85,1,2,0.85,0.16,0.16,2.0
Historical,2025-01-05 20:00:00,TOTAL,Answerlink,1.0,0,,0.0,30.0,,0.8,0.21,0.85,1,1,1.0,0.0,0.0,1.0
Historical,2025-01-05 21:00:00,TOTAL,Answerlink,1.0,0,,0.0,30.0,,0.8,0.21,0.85,1,1,1.0,0.0,0.0,1.0
Historical,2025-01-06 07:00:00,TOTAL,Answerlink,1.0,10,616.62,0.0,30.0,,0.8,0.21,0.85,4,6,0.9,0.43,0.11,6.0
Historical,2025-01-06 08:00:00,TOTAL,Answerlink,1.0,35,616.9,0.0,30.0,,0.8,0.21,0.85,9,12,0.83,0.67,0.2,12.0
Historical,2025-01-06 09:00:00,TOTAL,Answerlink,1.0,47,657.6,0.0,30.0,,0.8,0.21,0.85,12,16,0.82,0.72,0.21,16.0
Historical,2025-01-06 10:00:00,TOTAL,Answerlink,1.0,53,579.55,0.0,30.0,,0.8,0.21,0.85,12,16,0.83,0.71,0.2,16.0
Historical,2025-01-06 11:00:00,TOTAL,Answerlink,1.0,56,565.14,0.0,30.0,,0.8,0.21,0.85,12,16,0.8,0.73,0.24,16.0
Historical,2025-01-06 12:00:00,TOTAL,Answerlink,1.0,54,648.78,0.0,30.0,,0.8,0.21,0.85,14,18,0.88,0.7,0.15,18.0
Historical,2025-01-06 13:00:00,TOTAL,Answerlink,1.0,57,596.09,0.0,30.0,,0.8,0.21,0.85,13,17,0.83,0.73,0.21,17.0
Historical,2025-01-06 14:00:00,TOTAL,Answerlink,1.0,50,619.54,0.0,30.0,,0.8,0.21,0.85,12,16,0.82,0.72,0.21,16.0
Historical,2025-01-06 15:00:00,TOTAL,Answerlink,1.0,44,604.57,0.0,30.0,,0.8,0.21,0.85,11,14,0.86,0.67,0.16,14.0
Historical,2025-01-06 16:00:00,TOTAL,Answerlink,1.0,21,597.23,0.0,30.0,,0.8,0.21,0.85,6,8,0.85,0.58,0.17,8.0
Historical,2025-01-06 17:00:00,TOTAL,Answerlink,1.0,10,855.16,0.0,30.0,,0.8,0.21,0.85,5,7,0.9,0.48,0.11,7.0
Historical,2025-01-06 18:00:00,TOTAL,Answerlink,1.0,7,877.56,0.0,30.0,,0.8,0.21,0.85,4,6,0.9,0.43,0.11,6.0
Historical,2025-01-06 19:00:00,TOTAL,Answerlink,1.0,3,409.0,0.0,30.0,,0.8,0.21,0.85,2,3,0.96,0.17,0.05,3.0
Historical,2025-01-06 20:00:00,TOTAL,Answerlink,1.0,3,569.0,0.0,30.0,,0.8,0.21,0.85,2,3,0.92,0.24,0.09,3.0
Historical,2025-01-06 21:00:00,TOTAL,Answerlink,1.0,0,,0.0,30.0,,0.8,0.21,0.85,1,1,1.0,0.0,0.0,1.0
Historical,2025-01-06 22:00:00,TOTAL,Answerlink,1.0,2,578.0,0.0,30.0,,0.8,0.21,0.85,2,3,0.96,0.16,0.04,3.0
Historical,2025-01-06 23:00:00,TOTAL,Answerlink,1.0,1,917.0,0.0,30.0,,0.8,0.21,0.85,2,3,0.97,0.13,0.03,3.0
Historical,2025-01-07 07:00:00,TOTAL,Answerlink,1.0,5,242.7,0.0,30.0,,0.8,0.21,0.85,2,3,0.96,0.17,0.05,3.0
Historical,2025-01-07 08:00:00,TOTAL,Answerlink,1.0,21,619.13,0.0,30.0,,0.8,0.21,0.85,6,8,0.82,0.6,0.2,8.0
Historical,2025-01-07 09:00:00,TOTAL,Answerlink,1.0,34,495.72,0.0,30.0,,0.8,0.21,0.85,8,11,0.9,0.59,0.12,11.0
Historical,2025-01-07 10:00:00,TOTAL,Answerlink,1.0,42,649.04,0.0,30.0,,0.8,0.21,0.85,11,14,0.84,0.69,0.18,14.0
Historical,2025-01-07 11:00:00,TOTAL,Answerlink,1.0,45,625.72,0.0,30.0,,0.8,0.21,0.85,11,14,0.81,0.71,0.22,14.0
Historical,2025-01-07 12:00:00,TOTAL,Answerlink,1.0,43,542.56,0.0,30.0,,0.8,0.21,0.85,10,13,0.88,0.65,0.15,13.0
Historical,2025-01-07 13:00:00,TOTAL,Answerlink,1.0,40,569.47,0.0,30.0,,0.8,0.21,0.85,10,13,0.89,0.63,0.13,13.0
Historical,2025-01-07 14:00:00,TOTAL,Answerlink,1.0,44,702.69,0.0,30.0,,0.8,0.21,0.85,12,16,0.82,0.72,0.21,16.0
Historical,2025-01-07 15:00:00,TOTAL,Answerlink,1.0,40,447.05,0.0,30.0,,0.8,0.21,0.85,8,11,0.87,0.62,0.16,11.0
Historical,2025-01-07 16:00:00,TOTAL,Answerlink,1.0,26,566.43,0.0,30.0,,0.8,0.21,0.85,7,9,0.87,0.58,0.15,9.0
Historical,2025-01-07 17:00:00,TOTAL,Answerlink,1.0,9,885.11,0.0,30.0,,0.8,0.21,0.85,5,7,0.92,0.44,0.09,7.0
Historical,2025-01-07 18:00:00,TOTAL,Answerlink,1.0,6,882.28,0.0,30.0,,0.8,0.21,0.85,4,6,0.94,0.37,0.07,6.0
Historical,2025-01-07 19:00:00,TOTAL,Answerlink,1.0,4,574.5,0.0,30.0,,0.8,0.21,0.85,2,3,0.86,0.32,0.15,3.0
Historical,2025-01-07 20:00:00,TOTAL,Answerlink,1.0,0,,0.0,30.0,,0.8,0.21,0.85,1,1,1.0,0.0,0.0,1.0
Historical,2025-01-07 21:00:00,TOTAL,Answerlink,1.0,1,278.0,0.0,30.0,,0.8,0.21,0.85,1,2,0.93,0.08,0.08,2.0
Historical,2025-01-07 22:00:00,TOTAL,Answerlink,1.0,0,,0.0,30.0,,0.8,0.21,0.85,1,1,1.0,0.0,0.0,1.0
Historical,2025-01-07 23:00:00,TOTAL,Answerlink,1.0,0,,0.0,30.0,,0.8,0.21,0.85,1,1,1.0,0.0,0.0,1.0
Historical,2025-01-08 07:00:00,TOTAL,Answerlink,1.0,8,469.5,0.0,30.0,,0.8,0.21,0.85,3,4,0.91,0.35,0.1,4.0
Historical,2025-01-08 08:00:00,TOTAL,Answerlink,1.0,25,635.56,0.0,30.0,,0.8,0.21,0.85,7,9,0.82,0.63,0.2,9.0
Historical,2025-01-08 09:00:00,TOTAL,Answerlink,1.0,29,371.32,0.0,30.0,,0.8,0.21,0.85,5,7,0.8,0.6,0.23,7.0
Historical,2025-01-08 10:00:00,TOTAL,Answerlink,1.0,56,503.9,0.0,30.0,,0.8,0.21,0.85,11,14,0.82,0.71,0.22,14.0
Historical,2025-01-08 11:00:00,TOTAL,Answerlink,1.0,42,605.95,0.0,30.0,,0.8,0.21,0.85,11,14,0.89,0.64,0.13,14.0
Historical,2025-01-08 12:00:00,TOTAL,Answerlink,1.0,46,545.78,0.0,30.0,,0.8,0.21,0.85,10,13,0.82,0.7,0.22,13.0
Historical,2025-01-08 13:00:00,TOTAL,Answerlink,1.0,57,470.98,0.0,30.0,,0.8,0.21,0.85,11,14,0.86,0.68,0.17,14.0
Historical,2025-01-08 14:00:00,TOTAL,Answerlink,1.0,43,668.7,0.0,30.0,,0.8,0.21,0.85,12,16,0.88,0.67,0.14,16.0
Historical,2025-01-08 15:00:00,TOTAL,Answerlink,1.0,37,487.78,0.0,30.0,,0.8,0.21,0.85,8,11,0.86,0.63,0.17,11.0
Historical,2025-01-08 16:00:00,TOTAL,Answerlink,1.0,24,522.79,0.0,30.0,,0.8,0.21,0.85,6,8,0.85,0.58,0.17,8.0
Historical,2025-01-08 17:00:00,TOTAL,Answerlink,1.0,11,416.16,0.0,30.0,,0.8,0.21,0.85,3,4,0.86,0.42,0.16,4.0
Historical,2025-01-08 18:00:00,TOTAL,Answerlink,1.0,6,278.6,0.0,30.0,,0.8,0.21,0.85,2,3,0.93,0.23,0.09,3.0
Historical,2025-01-08 19:00:00,TOTAL,Answerlink,1.0,0,,0.0,30.0,,0.8,0.21,0.85,1,1,1.0,0.0,0.0,1.0
Historical,2025-01-08 20:00:00,TOTAL,Answerlink,1.0,0,,0.0,30.0,,0.8,0.21,0.85,1,1,1.0,0.0,0.0,1.0
Historical,2025-01-08 21:00:00,TOTAL,Answerlink,1.0,0,,0.0,30.0,,0.8,0.21,0.85,1,1,1.0,0.0,0.0,1.0
Historical,2025-01-08 22:00:00,TOTAL,Answerlink,1.0,1,884.0,0.0,30.0,,0.8,0.21,0.85,2,3,0.97,0.12,0.03,3.0
Historical,2025-01-08 23:00:00,TOTAL,Answerlink,1.0,1,214.0,0.0,30.0,,0.8,0.21,0.85,1,2,0.95,0.06,0.06,2.0
Historical,2025-01-09 07:00:00,TOTAL,Answerlink,1.0,5,319.0,0.0,30.0,,0.8,0.21,0.85,2,3,0.93,0.22,0.08,3.0
Historical,2025-01-09 08:00:00,TOTAL,Answerlink,1.0,19,465.44,0.0,30.0,,0.8,0.21,0.85,5,7,0.9,0.49,0.12,7.0
Historical,2025-01-09 09:00:00,TOTAL,Answerlink,1.0,34,534.01,0.0,30.0,,0.8,0.21,0.85,8,11,0.85,0.63,0.17,11.0
Historical,2025-01-09 10:00:00,TOTAL,Answerlink,1.0,34,492.4,0.0,30.0,,0.8,0.21,0.85,8,11,0.9,0.58,0.12,11.0
Historical,2025-01-09 11:00:00,TOTAL,Answerlink,1.0,36,526.93,0.0,30.0,,0.8,0.21,0.85,8,11,0.82,0.66,0.21,11.0
Historical,2025-01-09 12:00:00,TOTAL,Answerlink,1.0,45,588.65,0.0,30.0,,0.8,0.21,0.85,11,14,0.87,0.67,0.16,14.0
Historical,2025-01-09 13:00:00,TOTAL,Answerlink,1.0,45,539.27,0.0,30.0,,0.8,0.21,0.85,10,13,0.85,0.67,0.18,13.0
Historical,2025-01-09 14:00:00,TOTAL,Answerlink,1.0,42,599.22,0.0,30.0,,0.8,0.21,0.85,10,13,0.81,0.7,0.22,13.0
Historical,2025-01-09 15:00:00,TOTAL,Answerlink,1.0,38,772.02,0.0,30.0,,0.8,0.21,0.85,12,16,0.87,0.68,0.16,16.0
Historical,2025-01-09 16:00:00,TOTAL,Answerlink,1.0,13,912.08,0.0,30.0,,0.8,0.21,0.85,6,8,0.87,0.55,0.14,8.0
Historical,2025-01-09 17:00:00,TOTAL,Answerlink,1.0,8,249.46,0.0,30.0,,0.8,0.21,0.85,2,3,0.9,0.28,0.12,3.0
Historical,2025-01-09 18:00:00,TOTAL,Answerlink,1.0,4,744.75,0.0,30.0,,0.8,0.21,0.85,3,4,0.95,0.28,0.06,4.0
Historical,2025-01-09 19:00:00,TOTAL,Answerlink,1.0,4,490.33,0.0,30.0,,0.8,0.21,0.85,2,3,0.89,0.27,0.12,3.0
Historical,2025-01-09 20:00:00,TOTAL,Answerlink,1.0,1,226.5,0.0,30.0,,0.8,0.21,0.85,1,2,0.94,0.06,0.06,2.0
Historical,2025-01-09 21:00:00,TOTAL,Answerlink,1.0,0,,0.0,30.0,,0.8,0.21,0.85,1,1,1.0,0.0,0.0,1.0
Historical,2025-01-09 22:00:00,TOTAL,Answerlink,1.0,0,,0.0,30.0,,0.8,0.21,0.85,1,1,1.0,0.0,0.0,1.0
Historical,2025-01-09 23:00:00,TOTAL,Answerlink,1.0,0,,0.0,30.0,,0.8,0.21,0.85,1,1,1.0,0.0,0.0,1.0
Historical,2025-01-10 07:00:00,TOTAL,Answerlink,1.0,4,291.5,0.0,30.0,,0.8,0.21,0.85,2,3,0.96,0.16,0.05,3.0
Historical,2025-01-10 08:00:00,TOTAL,Answerlink,1.0,22,455.56,0.0,30.0,,0.8,0.21,0.85,5,7,0.84,0.56,0.19,7.0
Historical,2025-01-10 09:00:00,TOTAL,Answerlink,1.0,39,621.0,0.0,30.0,,0.8,0.21,0.85,10,13,0.84,0.67,0.18,13.0
Historical,2025-01-10 10:00:00,TOTAL,Answerlink,1.0,46,519.06,0.0,30.0,,0.8,0.21,0.85,10,13,0.86,0.66,0.17,13.0
Historical,2025-01-10 11:00:00,TOTAL,Answerlink,1.0,38,628.23,0.0,30.0,,0.8,0.21,0.85,10,13,0.86,0.66,0.17,13.0
Historical,2025-01-10 12:00:00,TOTAL,Answerlink,1.0,39,666.73,0.0,30.0,,0.8,0.21,0.85,11,14,0.88,0.66,0.14,14.0
Historical,2025-01-10 13:00:00,TOTAL,Answerlink,1.0,58,560.14,0.0,30.0,,0.8,0.21,0.85,13,17,0.87,0.69,0.16,17.0
Historical,2025-01-10 14:00:00,TOTAL,Answerlink,1.0,45,602.62,0.0,30.0,,0.8,0.21,0.85,11,14,0.85,0.68,0.18,14.0
Historical,2025-01-10 15:00:00,TOTAL,Answerlink,1.0,36,566.37,0.0,30.0,,0.8,0.21,0.85,9,12,0.87,0.63,0.15,12.0
Historical,2025-01-10 16:00:00,TOTAL,Answerlink,1.0,22,634.6,0.0,30.0,,0.8,0.21,0.85,7,9,0.9,0.55,0.12,9.0
Historical,2025-01-10 17:00:00,TOTAL,Answerlink,1.0,9,410.1,0.0,30.0,,0.8,0.21,0.85,3,4,0.92,0.34,0.1,4.0
Historical,2025-01-10 18:00:00,TOTAL,Answerlink,1.0,2,815.33,0.0,30.0,,0.8,0.21,0.85,2,3,0.92,0.23,0.08,3.0
Historical,2025-01-10 19:00:00,TOTAL,Answerlink,1.0,1,102.0,0.0,30.0,,0.8,0.21,0.85,1,2,0.98,0.03,0.03,2.0
Historical,2025-01-10 20:00:00,TOTAL,Answerlink,1.0,0,,0.0,30.0,,0.8,0.21,0.85,1,1,1.0,0.0,0.0,1.0
Historical,2025-01-10 21:00:00,TOTAL,Answerlink,1.0,0,,0.0,30.0,,0.8,0.21,0.85,1,1,1.0,0.0,0.0,1.0
Historical,2025-01-10 22:00:00,TOTAL,Answerlink,1.0,0,,0.0,30.0,,0.8,0.21,0.85,1,1,1.0,0.0,0.0,1.0
Historical,2025-01-10 23:00:00,TOTAL,Answerlink,1.0,0,,0.0,30.0,,0.8,0.21,0.85,1,1,1.0,0.0,0.0,1.0
Historical,2025-01-11 07:00:00,TOTAL,Answerlink,1.0,2,507.0,0.0,30.0,,0.8,0.21,0.85,2,3,0.97,0.14,0.03,3.0
Historical,2025-01-11 08:00:00,TOTAL,Answerlink,1.0,7,668.29,0.0,30.0,,0.8,0.21,0.85,3,4,0.84,0.43,0.17,4.0
Historical,2025-01-11 09:00:00,TOTAL,Answerlink,1.0,13,510.15,0.0,30.0,,0.8,0.21,0.85,4,6,0.88,0.46,0.14,6.0
Historical,2025-01-11 10:00:00,TOTAL,Answerlink,1.0,18,350.94,0.0,30.0,,0.8,0.21,0.85,4,6,0.9,0.44,0.12,6.0
Historical,2025-01-11 11:00:00,TOTAL,Answerlink,1.0,11,479.11,0.0,30.0,,0.8,0.21,0.85,4,6,0.94,0.37,0.07,6.0
Historical,2025-01-11 12:00:00,TOTAL,Answerlink,1.0,20,553.81,0.0,30.0,,0.8,0.21,0.85,6,8,0.91,0.51,0.11,8.0
Historical,2025-01-11 13:00:00,TOTAL,Answerlink,1.0,11,517.61,0.0,30.0,,0.8,0.21,0.85,4,6,0.92,0.4,0.09,6.0
Historical,2025-01-11 14:00:00,TOTAL,Answerlink,1.0,4,650.75,0.0,30.0,,0.8,0.21,0.85,2,3,0.82,0.36,0.19,3.0
Historical,2025-01-11 15:00:00,TOTAL,Answerlink,1.0,4,309.5,0.0,30.0,,0.8,0.21,0.85,2,3,0.96,0.17,0.05,3.0
Historical,2025-01-11 16:00:00,TOTAL,Answerlink,1.0,0,,0.0,30.0,,0.8,0.21,0.85,1,1,1.0,0.0,0.0,1.0
Historical,2025-01-11 17:00:00,TOTAL,Answerlink,1.0,0,,0.0,30.0,,0.8,0.21,0.85,1,1,1.0,0.0,0.0,1.0
Historical,2025-01-11 18:00:00,TOTAL,Answerlink,1.0,1,1353.0,0.0,30.0,,0.8,0.21,0.85,2,3,0.94,0.19,0.06,3.0
Historical,2025-01-11 19:00:00,TOTAL,Answerlink,1.0,1,281.0,0.0,30.0,,0.8,0.21,0.85,1,2,0.93,0.08,0.08,2.0
Historical,2025-01-11 20:00:00,TOTAL,Answerlink,1.0,1,249.0,0.0,30.0,,0.8,0.21,0.85,1,2,0.94,0.07,0.07,2.0
Historical,2025-01-11 21:00:00,TOTAL,Answerlink,1.0,1,326.0,0.0,30.0,,0.8,0.21,0.85,1,2,0.92,0.09,0.09,2.0
Historical,2025-01-12 07:00:00,TOTAL,Answerlink,1.0,1,205.0,0.0,30.0,,0.8,0.21,0.85,1,2,0.95,0.06,0.06,2.0
Historical,2025-01-12 08:00:00,TOTAL,Answerlink,1.0,2,368.5,0.0,30.0,,0.8,0.21,0.85,1,2,0.81,0.2,0.2,2.0
Historical,2025-01-12 09:00:00,TOTAL,Answerlink,1.0,7,589.75,0.0,30.0,,0.8,0.21,0.85,3,4,0.88,0.38,0.13,4.0
Historical,2025-01-12 10:00:00,TOTAL,Answerlink,1.0,8,660.3,0.0,30.0,,0.8,0.21,0.85,4,6,0.94,0.37,0.07,6.0
Historical,2025-01-12 11:00:00,TOTAL,Answerlink,1.0,6,636.83,0.0,30.0,,0.8,0.21,0.85,3,4,0.9,0.35,0.11,4.0
Historical,2025-01-12 12:00:00,TOTAL,Answerlink,1.0,9,439.3,0.0,30.0,,0.8,0.21,0.85,3,4,0.9,0.37,0.11,4.0
Historical,2025-01-12 13:00:00,TOTAL,Answerlink,1.0,8,461.0,0.0,30.0,,0.8,0.21,0.85,3,4,0.92,0.34,0.1,4.0
Historical,2025-01-12 14:00:00,TOTAL,Answerlink,1.0,2,849.0,0.0,30.0,,0.8,0.21,0.85,2,3,0.91,0.24,0.09,3.0
Historical,2025-01-12 15:00:00,TOTAL,Answerlink,1.0,0,,0.0,30.0,,0.8,0.21,0.85,1,1,1.0,0.0,0.0,1.0
Historical,2025-01-12 16:00:00,TOTAL,Answerlink,1.0,0,,0.0,30.0,,0.8,0.21,0.85,1,1,1.0,0.0,0.0,1.0
